- inbalanced -------------------------------------------------------------------
0x7fffcc001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 1901}
0x7fffc4001390 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1916}
0x7ffff0001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1931}
0x7fffc00013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1959}
0x7fffb80013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 1974}
0x7fffc40013d0 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2015}
0x7fffdc001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2066}
0x7fffd0001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2078}
0x7fffe4001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2090}
0x7fffcc001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 2105}
0x7fffd8001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 2172}
0x7fffcc001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2187}
0x7fffe8001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2212}
0x7fffc0001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2237}
0x7ffff0001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 2288}
0x7fffb8001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2313}
0x7fffd8001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2328}
0x7fffd0001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 2343}
0x7fffc0001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 2397}
0x7fffe4001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 2438}
0x7fffd0001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2479}
0x7fffc4001660 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2504}
0x7fffe4001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2519}
